instance,cpu,memory
N2-STANDARD-2,2,8
N2-STANDARD-4,4,16
N2-STANDARD-8,8,32
N2-STANDARD-16,16,64
N2-STANDARD-32,32,128
N2-STANDARD-48,48,192
N2-STANDARD-64,64,256
N2-STANDARD-80,80,320
N2-HIGHMEM-2,2,16
N2-HIGHMEM-4,4,32
N2-HIGHMEM-8,8,64
N2-HIGHMEM-16,16,128
N2-HIGHMEM-32,32,256
N2-HIGHMEM-48,48,384
N2-HIGHMEM-64,64,512
N2-HIGHMEM-80,80,640
N2-HIGHCPU-2,2,2
N2-HIGHCPU-4,4,4
N2-HIGHCPU-8,8,8
N2-HIGHCPU-16,16,16
N2-HIGHCPU-32,32,32
N2-HIGHCPU-48,48,48
N2-HIGHCPU-64,64,64
N2-HIGHCPU-80,80,80
E2-STANDARD-2,2,8
E2-STANDARD-4,4,16
E2-STANDARD-8,8,32
E2-STANDARD-16,16,64
E2-HIGHMEM-2,2,16
E2-HIGHMEM-4,4,32
E2-HIGHMEM-8,8,64
E2-HIGHMEM-16,16,128
E2-HIGHCPU-2,2,2
E2-HIGHCPU-4,4,4
E2-HIGHCPU-8,8,8
E2-HIGHCPU-16,16,16
M1-ULTRAMEM-40,40,961
M1-ULTRAMEM-80,80,1922
M1-ULTRAMEM-160,160,3844
M1-MEGAMEM-96,96,1433.6
M2-ULTRAMEM-208,208,5888
M2-ULTRAMEM-416,416,11776
C2-STANDARD-4,4,16
C2-STANDARD-8,8,32
C2-STANDARD-16,16,64
C2-STANDARD-30,30,120
C2-STANDARD-60,60,240
